kode_rs,nama_rs,alamat_rs,telepon_rs
1208053,RS Umum Sei Dadap,Jl. Protokol Sei Dadap-Sumut,
1209010,RS Umum Balimbingan PTP 4,"Desa Balimbingan, Kecamatan Tanah Jawa, Kabupaten Simalungun, Sumatera Utara",0622-7562036
1209021,RS Umum Laras Kabupaten Simalungun,Jl Desa Naga Jaya I Kec. Bandar Huluan Kab.Simalungun,0622-64342
1209032,RS Umum Bridgestone Sumatera Rubber Estate,"Dolok Marangir,Kab.Simalungun",64098
1209054,RS GKPS Bethesda Saribu Dolok,"Seribu Dolok,Kab.Simalungun",0622 370586
1209065,RS Umum Daerah Parapat,Jl Kolonel TPR Sinaga Parapat,(0625)41332
1209076,RS Umum Daerah Perdagangan,"Jl Radjadmin Purba, SH. Perdagangan",
1210010,RS Umum Daerah Sidikalang,"Jl Rumah Sakit No 19, Sidikalang",0627-21096
1211011,RS Umum Daerah Kabanjahe,Jl Kapten Selamat Ketaren No. 08 Kabanjahe,0628-20012
1211092,RS Umum Ester,"Jl Veteran No.21,Kabanjahe",062820714
1212012,RS Umum Dearah Deli Serdang,Jl. Thamrin Lubuk Pakam,061-7952068
1212023,RS Umum Dr Gerhard L Tobing,Desa Buntu Bedimbar Tanjung Morawa Deli Serdang,061-7940055
1212045,RS Umum Sembiring Deli Tua,"Jl. Besar No.77, Deli Tua",061-7030802
1212093,RS Umum Sari Mutiara Lubuk Pakam,"Jl Medan No.17,Lubuk Pakam",061-7951339
1218125,RS Umum Daerah Sultan Sulaiman Syariful Alamsyah,Kabupaten Serdang Bedagai,061- 42100
1212136,RS Umum Sinar Husni,Jl Veteran Gg.Utama Psr. V Helvetia,061-8463432
1213013,RS Umum Daerah Tanjung Pura,Jl Khairil Anwar No.9 Tanjung Pura,061-8960093
1213024,RS Umum PTP II Tg Selamat,Jl. Besar Batang Serangan No. 48 Kec. Padang Tualang,061-77209963
1213035,RS Umum Pertamina Pangkalan Brandan,Jl Wahidin No 1 Pangkalan Brandan,0620-322612
1214010,RS Umum Daerah Lukas Hilisimaetano,Kabupaten Nias Selatan,082304545254
1216011,RS Umum Daerah Salak,"Jl Raja David, Kab.Pakpak Bharat",0627-7433004
1271016,RS Umum Daerah Dr. Fl Tobing Sibolga,Jl Dr. F.L. Tobing No. 35 Sibolga,0631-24725
1271031,RS Bantuan Sibolga,"Jl Anggrek No.6,Sibolga",0631-21356
1272010,RS Umum Daerah Dr. Tengku Mansyur,Jl Mayjen Sutoyo No. 39 Tanjung Balai,0623-92089
1273011,RS Umum Daerah Dr. Djasamen Saragih,"Jl Sutomo No. 230, Pematangsiantar",0622-23824
1273022,RS Tk. IV 01.07.01,Jl. Gn Simanuk Manuk No.6. Pematangsiantar,0622-21071
1273055,RS Umum Vita Insani,"Jl. Merdeka No.239, Pematang Siantar",0622-22520
1273092,RS Umum Mina Padi,Jl. Medan KM.10 Pematang Siantar,7439036
1273102,RS Umum Horas Insani,"Jl. Medan Km.2,5 Pematang Siantar",0622- 433444
1274012,RS Umum Daerah Dr. H. Kumpulan Pane,Jl Dr. Kumpulan Pane No.226,0621-21967
1274034,RS Umum Sri Pamela,Jl Jend Sudirman  No. 299,0621-24748
1274056,RS Umum Herna,Jl Balai Kota No. 2 Tebing Tinggi,21476
1275013,RS Umum Daerah Dr. Pirngadi,"Jl Prof H M Yamin SH 47, Medan",061-4158701
1275035,RS Tk. II Putri Hijau Medan,"Jl Putri Hijau No. 17, Medan",061-4529684
1275046,RS Bhayangkara Medan,"Jl KH Wahid Hasyim No.1, Medan",061-815990
1275050,RS Umum Deli,Jl Merbabu No.18-20 A Medan,061-4565229
1275072,RS Umum Santa Elisabeth Medan,"Jl Haji Misbah No.7,Medan",4144737
1275083,RS Umum  Herna,Jl Mojopahit 118 A Medan,061-4510766
1275094,RS Umum Advent Medan,"Jl Gatot Subroto Km.4,Medan",061-4524875
1275126,RS Umum Methodist,"Jl M. H. Thamrin No. 105, Medan",(061) 7369000
1275130,RS Umum Materna,"Jl Teuku Umar 9-11,Medan",061-4514222
1275141,RS AL Dr. Komang Makes Belawan,"Jl. Bengkalis Belawan No.1,Medan",061-6941741
1275163,RS Umum Islam Malahayati,Jl Pangeran Diponegoro No.2-4 Medan,(061) 4518766
1275196,RS Umum Sari Mutiara,"Jl Kapten Muslim 79, Medan",061 8451812
1275221,RS Jiwa Prof. Dr. Muhammad Ildrem,Jl Let. Jend. Jamin Ginting S Km. 10/ Jl. Tali Air No. 21 Kel. Mangga Kec. Medan Tuntungan,061-8360542
1275265,RS Umum Sundari,"Jl Jend. T.B.Simatupang No.31,Medan",061.8452536
1275276,RS Umum Vina Estetica,Jl Sultan Iskandar Muda No.119,061 4147646
1275298,RS Umum Mitra Sejati,Jl Jend. AH Nasution No.7 Pangkalan Masyhur Medan,7875967
1275516,RS Umum Mitra Medika,"Jl. K.L. Yos Sudarso Km 7,5 Tanjung Mulia,Medan",061-6642238
1275590,RS Umum Bhakti,Jl HM Joni No.64 Medan,061-7166588
1275600,RS Umum Prima Husada Cipta Medan,"Jl Stasiun No.92, Belawan Medan",061-6941906
1275622,RS Umum Imelda Pekerja Indonesia,"Jl Bilal No.24 Pulo Brayan Darat I,Medan",061- 6610072
1275633,RS Umum Martha Friska,"Jl Yos Sudarso Km.6 No. 91,Medan",061 6610610
1275655,RSUP H. Adam Malik,"Jl Bunga Lau No. 17, Medan",061-8360051
1275692,RS Umum Permata Bunda,"Jl Sisingamangaraja No. 07,Medan",061 - 7362777
1275702,RS Ibu dan Anak Sri Ratu,"Jl Nibung Raya No.204,Medan",521074
1275724,RS Umum Sarah,Jl Baja Raya No.10 - Medan,061-4568383/512
1275735,RS Umum Sehat,"Jl Letda Sujono No.20 E Bandar selamat,Medan",061-7323336
1275750,RS Umum Prof.Dr. Boloni,Jl Robert Wolter Monginsidi No.11 Medan,4512687
1275772,RS Umum Bandung,Jl Mistar No. 39-43,0614567993
1275783,RS Ibu dan Anak Rosiva,Jl Bangka No 15 Medan,0614510522
1275794,RS Umum Haji Medan,Jl RS Haji Medan Estate,061-6619520
1275826,RS Umum Bahagia Medan,Jl Bahagia 85 Ds.Teladan,(061) 7360947
1275830,RS Umum Wulan Windy,Jl. Marelan Raya No. 17 Rengas Pulau - Medan,061-6850200
1275841,RS Umum Estomihi,"Jl. Sisinga Mangaraja 235,Medan",061-7861771
1275852,RS Umum Columbia Asia,Jl Listrik No.2A Medan,061-4566368
1275874,RS Khusus Gigi dan Mulut Univ. Sumatera Utara,"Jl Alumni No.2,Medan",0618216131
1275885,RS Umum Muhammadiyah,Jl Mandala By Pass No.27 Medan,7348882
1275996,RS Umum Sufina Azis,"Jl Karya Baru No.1,Medan",8441111-8441754
1276014,RS Umum Daerah Dr. R. M. Djoelham Binjai,Jl Sultan Hasanuddin No. 9 Binjai,061-8821372
1276025,RS Bangkatan PTPN II,Jl. Hasanuddin No.40 Binjai,061-8821263
1276040,RS Tk IV 01.07.02 Binjai,Jl. Bandung No.4 Binjai,061-8821927
1277015,RS TNI Tk. IV 01.07.03,"Jl. Sudirman No.1 Kelurahan : Losung Batu, Kecamatan : Padang Sidempuan.",0634-27391
1301010, RS Umum Daerah Kep. Mentawai,Jl. Raya Tuapejat KM.9 - Sipora Utara,
1302011, RS Umum Daerah Dr. Muhammad Zein Painan,Jln. A. Rivai No 1 Painan Kabupaten Pesisir Selatan,0756-21428
1303012,RS Umum Daerah Muara Labuh,"Jl. Raya Km.1,Muara Labuh Padang Aro, Kabupaten Solok Selatan Propinsi Sumatera Barat",0755-70462
1303023, RS Umum Daerah Arosuka Solok,"Jl. Lintas Sumatera Aro Suka Solok, Kab.Solok",0755-31160
1311013,RS Umum Daerah Sungai Dareh,"Jl. Lintas Sumatera KM 2, Kec.Pulau Punjung Kab.Dharmasraya Tlp.0754-40347",0754-40347
1305014,RS Umum Daerah Prof Dr M.A Hanafiah,Jl. Bundo Kanduang no 1 Batusangkar,0752-71008
1306015,RS Umum Daerah Pariaman,"Jl. Prof M Yamin SH No 5, Desa Kampung Baru, Kecamatan Pariaman Tengah",0751-91118
1308016,RS Umum Daerah Lubuk Basung,"Jl. M.Hatta Padang Baru,Lubuk Basung",0752-76017
1308010, RS Umum Daerah dr. Achmad Darwis,"Jl. Tan Malaka No.1, Kec.Suliki",0752-97718
1309011,RS Umum Daerah Lubuk Sikaping,"Jl. Jen Sudirman No.33,Lubuk Sikaping",075320033
1309022,RS Umum Islam Ibnu Sina,Jl M Natsir pasaman baru,0753-7464015
1312024, RS Umum Daerah Pasaman Barat,"Jl.Jenderal Sudirman, Simpang Ampek, Pasaman Barat",0753-65960
1371010,RSUP Dr. M. Djamil,Jl. Perintis Kemerdekaan Padang,0751-32371
1371021,RS Tk III Reksodiwiryo Padang,"Jl. Dr Wahidin No.1,Padang",0751-23312
1371032,RS Umum Yos Sudarso,"Jl. Situjuh No. 1,Padang",33230 / 33231
1371091,RS Umum Islam Ibnu Sina,Jl. Gajah Mada Gunung Pangilun Padang,0751-444712
1371112,RS Umum Aisyiyah Padang,"Jl. H.Agus Salim No.6,Padang",0751-23843
1371123,RS Bhayangkara Padang,Jl. Jati No.I Padang,0751-22397
1371251,RS Jiwa Puti Bungsu,Jl. H.Agus Salim No.36 Padang,0751-25619
1371273,RSIA Bunda Padang,"Jl. Gajah Mada No.35,Padang",7055995
1371284,RS Umum Selaguri,"Jl. A.Yani No.26,Padang",33010
1371305,RS Umum Semen Padang Hospital,Jl. By Pass KM 7 Kelurahan Pisang Kecamatan Pauh,0751-777888
1371316,RS Jiwa Prof.Dr. Hasan Basri Saanin Datuk Tan Pari,"Jl. Raya Ulu Gadut,Padang",0751-72001
1371400,RS Ibu dan Anak Lenggogeni,"Jl. Purus II No.1,Padang",
1371422,RS Khusus Bedah Ropanasuri,"Jl. Aur No.8,Padang",0751-31938
1371444, RS Umum Daerah dr. Rasidin Padang,"Jl. Air Paku Sei.Sapih Kec.Kuranji,Padang",0751-499158
1372011,RS Umum Daerah Mohammad Natsir,"Jl. Simpang Rumbio,Solok",0755-20827
1373012,RS Umum Daerah Sawah Lunto,"Jl. RA. Kartini No.18, Sawah Lunto",0754-61029
1374013,RS Umum Daerah Padang Panjang,Jl. Tabek Gadang Kelurahan Ganting Kec.Padang Panjang Timur Kota Padang Panjang,0752-82046
1374024,RS Umum Ibnu Sina Padang Panjang,"Jl. Sukarno. Hatta,Padang Panjang",0752-82127
1375014,RS Umum Daerah Dr. Achmad Mochtar,Jl. Dr. A.Rivai Bukittinggi,0752-21720
1375025, RS Tk IV Bukit Tinggi,"Jl. Jen Sudirman 37,Bukittinggi",0752-22887
1375036,RS Stroke Nasional,"Jl. Jend Sudirman,Bukittinggi PO. BOX I Bukittinggi",0752-21013
1375040,RS Umum Ibnu Sina Bukittinggi,"Jl. Batang Agam, Belakang Balok",0752-21185
1376015,RS Umum Daerah Dr Adnaan WD,"Jl. AIS Nasution 25,Balai Kaliki Payakumbuh",0752-92018
1401011,RS Umum Daerah Teluk Kuantan,Jl Kesehatan No. 1 Sinambek,0760-561857
1402012,RS Umum Daerah  Indrasari Rengat,Jl Lintas Timur Sumatera Rengat,0769-341061
1403013,RS Umum Daerah  Puri Husada Tembilahan,"Jl Veteran 52, Tembilahan",0768-22118
1404014,RS Umum Daerah  Selasih Riau,Jl Rumah Sakit No.01 Pkl Kerinci,(0761)493984
1405015,RS Umum Daerah Tengku Rafi'an Siak Sri Indrapura,"Jl Raja Kecik No.1 Kampung dalam,Siak Sri Indrapura",0764-20012
1406016,RS Umum Daerah  Bangkinang,"Jl Lingkar Bangkinang-Batu Belah, Kampar, Riau",0762-323330
1406031,RS Umum  Tandun,Kebun Tandun Komplek PTPN V Desa Talang danto Kec. Tapung Hulu Kab. Kampar Riau,082384615577
1407011,RS Umum Daerah  Rokan Hulu,"Jl Syekh Ismail, Pasir Pengaraian",0762-91777
1408011,RS Umum Daerah  Bengkalis,"Jl Kelapapati Tengah No.90, Bengkalis",0766-7008100
1409022,RS Umum Daerah  Dr. R.M. Pratomo Bagansiapiapi,"Jl Pahlawan No.13, Bagansiapiapi",0767-21731
1408032,RS Umum Daerah  Kec.Mandau,Jl Stadion No.10 Duri Bengkalis,0765-703891
1408055,RS Umum  Mutia Sari,Jl Kebun Karet No 5 Kel. Air Jamban Duri - Riau,0765-93635
1471011,RS Umum Daerah  Arifin Achmad,"Jl Diponegoro No. 2, Pekanbaru",0761-21618
1471022,RS Tk IV Pekanbaru,Jl Kesehatan No 2 Pekanbaru,0761-22426
1471033,RS Bhayangkara Pekan Baru Polda Riau,"Jl Kartini No.14,Pekanbaru",0761-47691
1471055,RS Santa Maria Pekanbaru,Jl Ahmad Yani No. 68 Rt/Rw 001/001 Kel.Pulau Karam Kec. Sukajadi,0761-22213
1471135,RS Umum  Islam Ibnu Sina,Jl Melati No.60 Pekanbaru,0761-24242
1471146,RS Jiwa Tampan,"Jl H.R. Subrantas Km.12,5 Pekanbaru",63240
1471150,RS Prof. Dr. Tabrani,"Jl Jend.Sudirman 410,Pekanbaru","35464, 35467"
1471161,RS Umum  Bina Kasih,"Jl Samanhudi No.3-5,Pekanbaru",0761-21718
1471215,RSU TNI-AU Lanud Roesmin Nurjadin,"Jl Adi Sucipto No. 123 Kelurahan Maharatu, Kec. Marpoyan Damai",0761-61456
1471226,RS Umum  Awal Bros Pekanbaru,Jl Sudirman No.117 Pekanbaru,0761-47333
1471237,RS Ibu dan Anak Eria Bunda,"Jl KH.Ahmad Dahlan No.163,Pekanbaru",0761-23100
1471259,RS Ibu dan Anak Andini,Jl Tuanku Tambusai No.55 - Pekanbaru,0761-33612
1471371,RS Umum  Lancang Kuning,Jl Ronggowarsito Ujung No.5A Gobah Pekanbaru,0761-859273
1471382,RS Umum  Pekanbaru Medical Center,"Jl Lembaga Pemasyarakatan No.25, Gobah Pekanbaru",0761848100
1473013,RS Umum Daerah  Kota Dumai,"Jl Tanjung Jati No.4, Dumai.",(0765) 38367
1473024,RS Pertamina Dumai,"Jl Raya Bukit Datuk,Dumai",0765-443601
1501012,RS Umum Daerah Mayjen H. A. Thalib,Jl. Basuki Rahmat Sungai Penuh Kabupaten Kerinci,0748-21447
1508013,RS Umum Daerah Sultan Thaha Saifuddin,Jl. Sultan Thaha Saifuddin KM. 04 Muara Tebo,0744- 21727
1502014,RS Umum Daerah Kolonel Abundjani/Bangko,"jl. Kesehatan No.20, Bangko",0746-21459
1503036,RS Umum Daerah Prof. Dr. H.  Chatib Quzwain,"Jl. Lintas Sumatera Km.09 Desa Bukit, Sarolangun",-
1504015,RS Umum Daerah Haji Abdoel Madjid Batoe,Jl. Prof. Dr. Sri Soedewi  Muara Bulian,0743-21043
1505016,RS Umum Daerah Ahmad Ripin,Jl. Lintas Timur Komp. Perkantoran Bukit Cinto Kenang,0741-590111
1507010,RS Umum Daerah KH. Daud Arif,"Jl. Syarif Hidayatullah, No. 14 Kuala Tungkal",0742-21621
1506011,RS Umum Daerah Nurdin Hamzah,Jl. WR. Supratman Kel. Parit Culum I Kec. Muara Sabak Barat,0
1509013,RS Umum Daerah H. Hanafie,Jl. Teuku Umar 88  Muara Bungo,0747-21314
1571012,RS Umum Daerah Raden Mattaher Jambi,Jl. Letjen Suprapto no. 31 Jambi,0741-61692
1571023,RS Tk. IV dr. Bratanata,"Jl. Raden Mattaher no. 33,Jambi",0741-23164
1571034,RS Bhayangkara Jambi,Jl. Raden Mathaher No.03 Jambi,0741-34409
1571045,RS Umum Santa Theresia,Jl. Dr. Sutomo No.19 Jambi,0741-23119
1571136,RS Jiwa Daerah Provinsi Jambi,"Jl. Dr. Purwadi Km.9,5 Jambi",0741-580254
1571147,RS Siloam Jambi,"Jl. Soekarno - Hatta Paal Merah,Jambi",0741-5919000
1571158,RS Umum Daerah H. Abdul Manap,Jl. SK.Rd.Syahbuddin Kel. Mayang Mangurai Kec.Kota Baru Jambi,0741-670149
1601013,RS Umum Daerah Dr. Ibnu Sutowo Baturaja,"Jl. Dr. Moh.Hatta No.1,Baturaja",0735-320298
1601035, RS Santo Antonio Baturaja,"Jl. Komisaris Umar 33,Baturaja",(0735)320395
1609046,RS Umum Panti Bhaktiningsih,Tegalrejo Belitang Kab. OKU Timur,0735-450066
1609083, RS Umum Daerah Ogan Komering Ulu Timur,Jl. Raya Belitang Rasuan No.1 Tulus Ayu Kecamatan Belitang Madang Raya,0735-451815
1602014,RS Umum Daerah Kayuagung,"Jln.Letjen Yusuf Singedekane No,1 Kel Jua Jua, Kayuagung",0712-323889
1672015,RS Umum Daerah Kota Prabumulih,"Jl. Lingkar, Kel. Gunung Ibul, Kec. Prabumulih Timur",0713-3300400
1603030,RS Umum Bukit Asam Medika,"Jl. Raya Bukit Asam no 118,Tanjung Enim",0734-451204
1603063,RS Umum Daerah dr. H. M. Rabain Muara Enim,Jl. Sultan Mahmud Badarudin II No. 49,0734-424345
1672074,RS AR Bunda Kota Prabumulih,Jl. Angkatan 45 Kel.Prabumulih Timur,0713 322954
1603085, RS Umum Daerah Talang Ubi,"Jl. Taman Siswa, Kel. Pasar Bhayangkara, Kec. Talang Ubi",0713-390487
1604016,RS Umum Daerah Lahat,Jl. Letjend Harun Sohar No.28,0731 321 785
1604020,RS Tk IV Lahat,"Jl.Letjen harun sohar No.26,Lahat",-
1673031, RS Umum Daerah Basemah Kota Pagar Alam,Jl. AIS Nasution No.3,0730-621036
1674010,RS Umum Daerah Dr. Sobirin Kabupaten Musi Rawas,"Jl. Yos Sudarso No.13,Lubuk Linggau",0733-321013
1674032,RS Umum Daerah Siti Aisyah Kota Lubuk Linggau,"Jl. Lapter Silampari No. 20 Rt. 01 Kel.Air Kuti,Lubuk Linggau Timur I",0733-451604
1605043,RS Umum Daerah Rupit Kabupaten Musi Rawas Utara,Jl.Kesehatan No.1 desa lawang agung kec. Rupit,0733-3282129
1606011,RS Umum Daerah Sekayu,Jl. Kol. Wahid Udin Lingkungan I Kel. Kayuara Kec. Sekayu Kab.Musi Banyuasin,0714-321855
1606022, RS Umum Daerah Sungai Lilin,Jl. Palembang-Jambi Km.117 Kecamatan Sungai Lilin,082370707085
1606032, RS Umum Daerah Bayung Lincir,"Jl Raya Palembang-Jambi KM 200 Kec, Bayung Lencir",08117423443
1607012,RS Umum Daerah Banyuasin,"Jl. Raya Palembang - Betung Km.48,Pangkalan Balai Banyuasin",0711-891647
1608051, RS Umum Daerah Muara Dua,Jl. Raya Ranau Desa Suka Jaya Kec.Muaradua,082279138430
1671013,RS Umum Pusat Dr. Mohammad Hoesin Palembang,"JL Jendral Sudirman KM 3,5 Palembang",0711-354088
1671024,RS Umum Pertamina Palembang,"Komplek Pertamina Plaju, Palembang",0711-597401
1671035,RS Umum dr. AK.Gani Kota Palembang,Jl. dr AK Gani no I Palembang,0711-310672
1671046,RS Umum Pusri Palembang,"Jl May Zen Kompl Pusri, 2 Ilir Palembang",0711-712071
1671050,RS Umum RK Charitas,"Jl. Sudirman 1054,Palembang",0711-353374
1671061,RS Jiwa Ernaldi Bahar Provinsi Sumatera Selatan,"Jl. Tembus Terminal No. 02, KM. 12 Kecamatan Alang Alang Lebar Kota Palembang",07115645123
1671083,RS Islam Siti Khadijah,Jl. Demang Lebar Daun No.26,0711-356008
1671243,RS Umum Bunda Palembang,Jl. Demang Lebar Daun No 70 Palembang,0711-311866
1671254, RS Ibu dan Anak Tiara Fatrin Palembang,"Jl. Rajawali No.495-496,Palembang",0711-353438
1671265, RS Umum Daerah Palembang Bari,"Jl. Panca Usaha No.1 Kel. 5 ulu Seb. Ulu I, PALEMBANG",0711-519211
1671276,RS Umum Myria Palembang,"Jl. Kol.H.Barlian Km.7,Palembang",0711-411610
1671301,RS Muhammadiyah Palembang,"Jl. A. Yani 13 Ulu, Palembang",0711-511446
1671312,RS Khusus Paru Palembang,"Jl. Merdeka No.10,Palembang",0711-352010
1671323,RS Khusus Mata Masyarakat Provinsi Sumatera Selat,Jl. Kol. H. Burlian KM.6,0711-5612838
1701014,RS Umum Daerah Hasanuddin Damrah Manna,Jl. Raya Padang Panjang Manna Kabupaten Bengkulu Selatan,0739-21012
1702015, RS Umum Daerah Curup,Jl. Basuki Rachmad No.10  Dwi Tunggal Curup,0732-23338
1707026, RS Umum Daerah Lebong,Desa Muning Agung Kecamatan Lebong Sakti,085366834333
1703016,RS Umum Daerah Arga Makmur,Jl. Siti Khadijah No. 08 Arga Makmur Kabupaten Bengkulu Utara,0737-521118
1703027,RS Bergerak Enggano,Jl. Raya Malakoni KM 3 Kecamatan Enggano Kabupaten Bengkulu Utara,081271483567
1705018, RS Umum Daerah Tais Kabupaten Seluma,Jl. Raya KM. 64 Selebar Kabupaten Seluma,0736-91285
1706019,RS Umum Daerah Mukomuko,Jl. Danau Nibung Desa Kota Praja Kecamatan Air Manjunto Kabupaten Mukomuko Provinsi Bengkulu,0737-71148
1708010,RS Umum Daerah Kepahiang,Jl. Lintas Kepahiang-Bengkulu KM 03 Desa Tebat Monok Kepahiang,0732-391425
1771014,RS Umum Daerah Dr. M. Yunus Bengkulu,Jl. Bayangkara Kel. Sido Mulyo Kec. Gading Cempaka Kota Bengkulu,(0736)-52004
1771025,RS Jiwa Soeprapto Provinsi Bengkulu,Jl. Bhakti Husada Lingkar Barat Bengkulu,0736-343339
1771036,RS Rafflesia Bengkulu,Jl. Mahoni No.10 Kelurahan Padang Jati Kecamatan Ratu Samban Kota Bengkulu,0736-21710
