kode_rs,nama_rs,total_tt,lk_terpakai,pr_terpakai,terpakai,lk_kosong,pr_kosong,kosong,wait_list,tgl_update
1205013,RS Umum Daerah Tarutung,240,47,41,88,76,78,152,0,05/Feb/2018 01:38:00
1205024,RS Umum Daerah Dr. Hadrianus Sinaga,80,13,27,40,0,0,40,0,06/Mar/2018 01:17:05
1205035,RS Umum Daerah Dolok Sanggul,118,10,17,27,33,58,91,0,16/Apr/2020 04:28:27
1205046,RS Umum Daerah Porsea,84,0,0,0,0,0,84,0,06/Mar/2018 01:06:29
1207015,RS Umum Daerah Rantau Prapat,183,33,38,71,38,64,112,0,15/Apr/2020 03:34:48
1208016,RS Umum Daerah H. Abdul Manan Simatupang,27,11,12,23,0,5,4,0,03/Aug/2018 10:11:25
1208053,RS Umum Sei Dadap,41,1,4,5,20,16,36,0,11/Apr/2020 06:09:45
1209054,RS GKPS Bethesda Saribu Dolok,35,0,0,0,35,0,35,0,19/Apr/2020 22:30:53
1209076,RS Umum Daerah Perdagangan,43,17,16,33,21,18,10,0,26/Feb/2019 05:48:13
1210010,RS Umum Daerah Sidikalang,120,26,33,59,30,31,61,0,06/Mar/2018 01:09:16
1211011,RS Umum Daerah Kabanjahe,203,70,63,133,41,45,70,0,08/Mar/2019 03:25:53
1211033,RS Umum Kusta Lau Simomo,42,6,7,13,0,0,29,0,27/Dec/2018 08:00:39
1212012,RS Umum Dearah Deli Serdang,277,95,101,196,0,0,81,0,26/Feb/2018 06:54:03
1218125,RS Umum Daerah Sultan Sulaiman Syariful Alamsyah,127,51,11,62,38,28,65,0,17/Apr/2020 07:34:20
1213013,RS Umum Daerah Tanjung Pura,27,0,24,24,3,4,3,0,27/Feb/2018 09:59:39
1213024,RS Umum PTP II Tg Selamat,103,4,7,11,57,35,92,0,06/Apr/2020 07:04:04
1214010,RS Umum Daerah Lukas Hilisimaetano,68,4,3,7,11,27,61,0,06/Mar/2018 01:00:21
1216011,RS Umum Daerah Salak,76,7,2,9,31,38,67,0,17/Apr/2020 01:14:28
1271016,RS Umum Daerah Dr. Fl Tobing Sibolga,162,25,18,43,81,94,119,0,01/Mar/2019 06:22:34
1272010,RS Umum Daerah Dr. Tengku Mansyur,141,27,46,73,29,39,68,0,02/Apr/2020 06:17:48
1273011,RS Umum Daerah Dr. Djasamen Saragih,162,5,2,7,61,88,155,0,18/Apr/2020 06:03:07
1273022,RS Tk. IV 01.07.01,5,0,0,0,0,0,5,0,17/Apr/2020 10:07:12
1273055,RS Umum Vita Insani,0,5,15,20,15,5,-20,0,24/Jul/2018 12:08:10
1273102,RS Umum Horas Insani,8,2,2,4,2,2,4,0,05/Mar/2019 10:46:16
1274012,RS Umum Daerah Dr. H. Kumpulan Pane,221,56,39,95,57,67,126,0,02/Mar/2019 03:08:04
1275013,RS Umum Daerah Dr. Pirngadi,370,30,34,64,0,0,306,0,08/Mar/2019 11:25:00
1275035,RS Tk. II Putri Hijau Medan,203,19,18,37,68,98,166,0,19/Apr/2020 04:37:07
1275046,RS Bhayangkara Medan,2,1,1,2,0,0,0,0,08/Mar/2018 12:55:44
1275072,RS Umum Santa Elisabeth Medan,233,5,9,14,0,0,219,0,15/Apr/2020 03:49:21
1275094,RS Umum Advent Medan,5,0,0,0,2,3,5,0,13/Apr/2020 10:02:24
1275126,RS Umum Methodist,95,10,5,15,31,49,80,0,08/Mar/2018 01:00:39
1275152,RS Umum Lanu Dr. Abd. Malik,12,0,0,0,9,12,12,0,08/Mar/2018 12:38:27
1275196,RS Umum Sari Mutiara,0,0,0,0,0,0,0,0,08/Mar/2018 12:37:40
1275221,RS Jiwa Prof. Dr. Muhammad Ildrem,441,232,68,300,71,70,141,0,19/Apr/2020 18:59:01
1275265,RS Umum Sundari,137,8,25,33,55,52,104,0,17/Apr/2020 09:23:47
1275276,RS Umum Vina Estetica,64,0,0,0,2,2,64,0,19/Dec/2018 09:58:39
1275590,RS Umum Bhakti,0,0,0,0,1,1,0,0,08/Mar/2018 12:39:39
1275600,RS Umum Prima Husada Cipta Medan,83,34,23,57,10,16,26,0,31/Jan/2019 12:36:00
1275633,RS Umum Martha Friska,4,3,0,3,1,0,1,0,08/Mar/2018 12:39:45
1275655,RSUP H. Adam Malik,788,122,94,216,0,0,572,0,19/Apr/2020 01:29:01
1275794,RS Umum Haji Medan,251,27,27,54,107,83,197,0,09/Mar/2018 06:29:50
1275996,RS Umum Sufina Azis,2,0,0,0,0,0,2,0,17/Apr/2020 11:36:17
1276014,RS Umum Daerah Dr. R. M. Djoelham Binjai,145,0,0,0,0,0,145,0,19/Feb/2019 09:14:35
1276040,RS Tk IV 01.07.02 Binjai,64,12,11,23,4,2,41,0,17/Jan/2019 11:00:07
1301010,RS Umum Daerah Kep. Mentawai,66,0,0,0,0,0,66,0,28/Feb/2018 08:38:06
1302011,RS Umum Daerah Dr. Muhammad Zein Painan,181,13,19,32,59,88,149,0,17/Apr/2020 06:44:58
1303012,RS Umum Daerah Muara Labuh,40,4,13,17,10,17,23,0,19/Nov/2018 08:04:11
1303023,RS Umum Daerah Arosuka Solok,100,42,40,82,12,16,18,0,16/Feb/2018 12:29:35
1311013,RS Umum Daerah Sungai Dareh,144,11,11,22,51,71,122,0,07/Apr/2020 04:09:46
1305014,RS Umum Daerah Prof Dr M.A Hanafiah,192,44,51,95,0,-15,97,0,26/Mar/2020 11:51:28
1306015,RS Umum Daerah Pariaman,147,0,0,0,69,77,147,0,15/Apr/2020 10:31:18
1308016,RS Umum Daerah Lubuk Basung,155,23,12,35,51,69,120,0,17/Apr/2020 03:50:06
1308010,RS Umum Daerah dr. Achmad Darwis,101,23,26,49,20,32,52,0,31/Oct/2018 05:14:57
1309011,RS Umum Daerah Lubuk Sikaping,197,0,0,0,0,0,197,0,17/Apr/2020 03:21:52
1309022,RS Umum Islam Ibnu Sina,127,21,28,49,0,0,78,0,08/Mar/2019 14:19:24
1312024,RS Umum Daerah Pasaman Barat,128,28,25,53,33,43,75,0,03/Apr/2020 04:20:12
1371010,RSUP Dr. M. Djamil,800,168,181,349,0,0,451,0,19/Apr/2020 22:33:02
1371021,RS Tk III Reksodiwiryo Padang,176,52,63,115,33,40,61,0,01/Aug/2018 08:31:10
1371112,RS Umum Aisyiyah Padang,55,1,5,6,1,19,49,0,11/Apr/2020 09:58:14
1371316,RS Jiwa Prof.Dr. Hasan Basri Saanin Datuk Tan Pari,314,136,26,162,109,43,152,0,30/Dec/2018 02:49:02
1371400,RS Ibu dan Anak Lenggogeni,29,0,0,0,0,0,29,0,17/Dec/2018 06:44:53
1372011,RS Umum Daerah Mohammad Natsir,274,43,71,114,63,99,160,0,16/Apr/2020 10:07:15
1373012,RS Umum Daerah Sawah Lunto,111,5,5,10,0,0,101,0,17/Apr/2020 01:30:36
1374013,RS Umum Daerah Padang Panjang,204,19,20,39,31,56,165,0,05/Nov/2019 07:37:28
1374024,RS Umum Ibnu Sina Padang Panjang,47,8,9,17,0,0,30,0,07/Apr/2020 23:26:59
1375014,RS Umum Daerah Dr. Achmad Mochtar,381,45,23,68,142,169,313,0,13/Apr/2020 12:45:22
1375036,RS Stroke Nasional,149,29,43,72,0,0,77,0,08/Mar/2019 21:58:01
1375040,RS Umum Ibnu Sina Bukittinggi,150,17,36,53,0,0,97,0,01/Apr/2020 13:07:30
1376015,RS Umum Daerah Dr Adnaan WD,95,32,46,78,6,11,17,0,15/Feb/2018 07:16:52
1401011,RS Umum Daerah Teluk Kuantan,103,9,14,23,36,44,80,0,19/Apr/2020 07:52:33
1402012,RS Umum Daerah  Indrasari Rengat,158,29,64,93,0,0,65,0,13/Apr/2020 12:36:43
1403013,RS Umum Daerah  Puri Husada Tembilahan,166,28,35,63,46,57,103,0,16/Apr/2020 07:14:45
1404014,RS Umum Daerah  Selasih Riau,116,14,13,27,27,48,89,0,19/Oct/2017 10:21:58
1405015,RS Umum Daerah Tengku Rafi'an Siak Sri Indrapura,163,26,36,62,0,0,101,0,13/Apr/2020 23:21:33
1406016,RS Umum Daerah  Bangkinang,155,14,21,35,0,0,120,0,06/Apr/2020 12:48:18
1406031,RS Umum  Tandun,50,14,13,27,0,0,23,0,14/Apr/2020 05:46:27
1407011,RS Umum Daerah  Rokan Hulu,146,85,101,186,0,0,-40,0,19/Apr/2020 08:44:57
1408011,RS Umum Daerah  Bengkalis,203,36,42,78,9,9,125,0,05/Mar/2019 12:38:21
1409022,RS Umum Daerah  Dr. R.M. Pratomo Bagansiapiapi,136,44,44,88,0,0,48,0,03/Apr/2020 16:05:19
1408032,RS Umum Daerah  Kec.Mandau,199,28,20,48,61,89,151,0,14/Apr/2020 02:53:37
1408055,RS Umum  Mutia Sari,60,5,18,23,0,0,37,0,08/Apr/2020 10:33:04
1471011,RS Umum Daerah  Arifin Achmad,610,127,153,280,0,0,330,0,18/Apr/2020 16:00:02
1471022,RS Tk IV Pekanbaru,3,0,0,0,1,1,3,0,14/Apr/2020 07:31:10
1471033,RS Bhayangkara Pekan Baru Polda Riau,61,1,3,4,17,25,57,0,15/Apr/2020 10:25:30
1471055,RS Santa Maria Pekanbaru,200,20,16,36,73,94,164,0,16/Apr/2020 07:36:02
1471135,RS Umum  Islam Ibnu Sina,10,3,3,6,1,3,4,0,13/Apr/2020 01:17:46
1471146,RS Jiwa Tampan,465,233,81,314,0,0,151,0,08/Mar/2019 14:24:17
1471150,RS Prof. Dr. Tabrani,7,3,4,7,0,0,0,0,20/Dec/2018 05:25:14
1471161,RS Umum  Bina Kasih,2,0,0,0,0,0,2,0,06/Apr/2018 01:53:29
1471215,RSU TNI-AU Lanud Roesmin Nurjadin,7,0,0,0,0,0,7,0,06/Apr/2018 12:52:56
1471226,RS Umum  Awal Bros Pekanbaru,10,5,2,7,1,1,3,1,07/Apr/2018 00:00:00
1471237,RS Ibu dan Anak Eria Bunda,5,0,0,0,0,0,5,0,06/Apr/2018 02:01:20
1471259,RS Ibu dan Anak Andini,35,0,13,13,0,22,22,0,19/Apr/2020 21:57:05
1473013,RS Umum Daerah  Kota Dumai,293,75,105,180,0,0,113,0,01/Apr/2020 12:26:19
1501012,RS Umum Daerah Mayjen H. A. Thalib,161,66,78,144,5,12,17,0,18/Apr/2020 06:49:25
1508013,RS Umum Daerah Sultan Thaha Saifuddin,131,17,16,33,44,53,98,0,15/Apr/2020 06:54:51
1502014,RS Umum Daerah Kolonel Abundjani/Bangko,142,18,15,33,42,67,109,0,18/Apr/2020 02:29:10
1503036,RS Umum Daerah Prof. Dr. H.  Chatib Quzwain,157,11,27,38,53,66,119,0,19/Apr/2020 02:21:19
1504015,RS Umum Daerah Haji Abdoel Madjid Batoe,135,17,30,47,40,48,88,0,18/Apr/2020 03:38:57
1505016,RS Umum Daerah Ahmad Ripin,116,1,0,1,35,0,115,0,18/Apr/2020 06:20:45
1507010,RS Umum Daerah KH. Daud Arif,99,11,22,33,18,25,66,0,17/Apr/2020 07:18:20
1506011,RS Umum Daerah Nurdin Hamzah,56,9,18,27,11,10,29,0,14/Apr/2020 08:59:57
1509013,RS Umum Daerah H. Hanafie,212,38,23,61,63,90,151,0,16/Apr/2020 04:32:49
1571012,RS Umum Daerah Raden Mattaher Jambi,332,37,30,67,119,135,265,0,18/Apr/2020 05:56:13
1571023,RS Tk. IV dr. Bratanata,232,34,28,62,12,28,170,0,18/Apr/2020 04:18:16
1571034,RS Bhayangkara Jambi,104,11,30,41,0,6,63,0,19/Apr/2020 03:11:09
1571045,RS Umum Santa Theresia,100,9,20,29,0,13,71,0,13/Apr/2020 01:13:34
1571136,RS Jiwa Daerah Provinsi Jambi,316,3839,1632,5471,3835,1632,-5155,0,01/Mar/2019 06:04:02
1571147,RS Siloam Jambi,0,0,0,0,0,0,0,0,17/Apr/2020 12:02:08
1571158,RS Umum Daerah H. Abdul Manap,160,8,17,25,64,71,135,0,19/Apr/2020 03:34:08
1601013,RS Umum Daerah Dr. Ibnu Sutowo Baturaja,164,10,25,35,60,68,129,0,18/Apr/2020 02:17:17
1609083,RS Umum Daerah Ogan Komering Ulu Timur,150,9,16,25,49,76,125,0,18/Apr/2020 04:29:37
1602014,RS Umum Daerah Kayuagung,241,13,31,44,92,105,197,0,18/Apr/2020 05:07:48
1672015,RS Umum Daerah Kota Prabumulih,166,57,68,125,14,27,41,0,04/Mar/2019 06:16:54
1603063,RS Umum Daerah dr. H. M. Rabain Muara Enim,175,39,45,84,32,55,91,0,22/Nov/2018 07:47:36
1672074,RS AR Bunda Kota Prabumulih,211,33,45,78,0,0,133,0,19/Apr/2020 03:37:09
1603085,RS Umum Daerah Talang Ubi,73,5,13,18,25,30,55,0,01/Apr/2020 07:47:06
1604016,RS Umum Daerah Lahat,219,66,80,146,34,34,73,0,11/Apr/2020 04:18:49
1673031,RS Umum Daerah Basemah Kota Pagar Alam,163,17,21,38,58,67,125,0,17/Apr/2020 04:30:51
1674010,RS Umum Daerah Dr. Sobirin Kabupaten Musi Rawas,162,45,37,82,29,34,80,0,15/Apr/2020 07:01:25
1674032,RS Umum Daerah Siti Aisyah Kota Lubuk Linggau,129,62,42,104,0,0,25,0,01/Mar/2019 06:22:16
1605043,RS Umum Daerah Rupit Kabupaten Musi Rawas Utara,94,17,10,27,28,39,67,0,01/Apr/2020 04:48:09
1606011,RS Umum Daerah Sekayu,272,0,0,0,0,0,272,0,05/Mar/2019 04:36:18
1606022,RS Umum Daerah Sungai Lilin,66,22,20,42,8,13,24,0,28/Feb/2019 04:57:26
1606032,RS Umum Daerah Bayung Lincir,46,8,15,23,10,13,23,0,28/Feb/2019 05:59:31
1607012,RS Umum Daerah Banyuasin,102,50,40,90,8,4,12,0,28/Feb/2018 03:20:18
1608051,RS Umum Daerah Muara Dua,80,19,15,34,31,49,46,0,13/Mar/2018 08:53:09
1671013,RS Umum Pusat Dr. Mohammad Hoesin Palembang,971,152,202,354,0,0,617,0,07/Aug/2018 13:48:24
1671024,RS Umum Pertamina Palembang,64,7,11,18,19,25,46,0,11/Apr/2020 07:09:06
1671035,RS Umum dr. AK.Gani Kota Palembang,242,21,32,53,0,0,189,0,18/Apr/2020 02:25:55
1671050,RS Umum RK Charitas,7,0,0,0,0,0,7,0,17/Apr/2020 08:41:00
1671061,RS Jiwa Ernaldi Bahar Provinsi Sumatera Selatan,196,87,18,105,57,38,91,0,16/Apr/2020 13:28:50
1671243,RS Umum Bunda Palembang,142,10,31,41,23,59,101,0,13/Apr/2020 11:24:55
1671254,RS Ibu dan Anak Tiara Fatrin Palembang,203,51,62,113,0,50,90,0,04/Jul/2017 14:48:09
1671265,RS Umum Daerah Palembang Bari,258,31,38,69,73,115,189,0,18/Apr/2020 03:39:55
1671301,RS Muhammadiyah Palembang,215,33,58,91,73,61,124,0,13/Apr/2020 02:57:23
1671312,RS Khusus Paru Palembang,35,0,0,0,19,16,35,0,19/Apr/2020 01:13:03
1671323,RS Khusus Mata Masyarakat Provinsi Sumatera Selat,35,0,0,0,18,17,35,0,01/Apr/2020 09:30:58
1701014,RS Umum Daerah Hasanuddin Damrah Manna,155,0,0,0,0,0,155,0,11/Feb/2019 05:57:15
1702015,RS Umum Daerah Curup,174,22,40,62,27,44,112,0,15/Apr/2020 04:35:29
1707026,RS Umum Daerah Lebong,59,9,8,17,18,24,42,0,24/Mar/2020 06:32:47
1703016,RS Umum Daerah Arga Makmur,250,58,27,85,84,73,165,0,17/Apr/2020 09:43:18
1703027,RS Bergerak Enggano,10,1,0,1,4,5,9,0,28/Feb/2019 04:26:59
1706019,RS Umum Daerah Mukomuko,136,28,34,62,37,38,74,0,04/Mar/2019 06:34:18
1708010,RS Umum Daerah Kepahiang,195,32,25,57,63,79,138,0,21/Feb/2018 12:02:45
1771014,RS Umum Daerah Dr. M. Yunus Bengkulu,325,30,35,65,124,129,260,0,11/Apr/2020 11:33:09
1771025,RS Jiwa Soeprapto Provinsi Bengkulu,300,98,26,124,123,49,176,0,25/Feb/2019 05:11:55
1771040,RS Tk. IV Bengkulu,75,25,33,58,8,9,17,0,17/Jan/2019 08:03:27
1771051,RS Bhayangkara Jitra Kota Bengkulu,110,19,13,32,39,39,78,0,17/Apr/2020 06:05:24
1801015,RS Umum Daerah Alimuddin Umar,141,41,34,75,26,33,66,0,17/Apr/2020 14:22:19
1802016,RS Panti Secanti,75,1,6,7,17,21,68,0,11/Apr/2020 04:30:38
1802027,RS Umum Daerah Batin Mangunang,99,15,7,22,8,20,77,0,14/Apr/2020 04:09:10
1802038,RS Umum Mitra Husada,138,21,22,43,47,48,95,0,19/Apr/2020 11:47:32
1803010,RS Umum Daerah Pringsewu,146,24,25,49,48,49,97,0,17/Apr/2020 12:10:48
1803021,RS Umum Daerah Dr. H. Bob Bazar SKM,177,29,47,76,55,46,101,0,15/Apr/2020 03:53:00
1804011,RS Umum Daerah Sukadana,100,46,54,100,46,54,0,0,23/Feb/2018 10:58:09
1805012,RS Umum Mitra Mulia Husada,43,6,2,8,6,2,35,0,18/Apr/2020 06:29:38
1805023,RS Umum Yukum Medical Centre,147,18,11,29,72,89,118,0,18/Apr/2020 01:59:07
1806013,RS Umum Daerah May Jen HM Ryacudu,139,19,21,40,42,48,99,0,19/Apr/2020 03:36:27
1805024,RS Umum Islam Asy-Syifaa Bandar Jaya,89,6,13,19,33,37,70,0,19/Apr/2020 08:14:57
1807014,RS Umum Daerah Zainal Abidin Pagar Alam,45,6,9,15,14,17,30,0,19/Apr/2020 01:59:07
1808015,RS Umum Daerah Menggala Tulang Bawang,121,1,0,1,19,21,120,0,13/Feb/2018 10:06:01
1801017,RS Umum Daerah Dr H Abdul Moeloek,612,93,97,190,0,0,422,0,04/Mar/2019 10:15:01
1871176,RS Jiwa Bandar Lampung,125,68,17,85,25,15,40,0,08/Mar/2019 04:21:22
1871282,RS Umum Advent Bandar Lampung,38,0,0,0,0,0,38,0,01/Jan/1970 07:00:00
1871405,RS Umum Urip Sumoharjo,426,52,65,117,0,0,309,0,16/Apr/2020 05:52:26
1872016,RS Umum Daerah Ahmad Yani Metro,224,66,72,138,42,44,86,0,17/Apr/2020 04:22:30
1901016,RS Umum Daerah Depati Bahrin,158,19,18,37,52,69,121,0,18/Apr/2020 06:56:18
1901020,RS  Jiwa Sungai Liat,152,68,21,89,112,40,63,0,26/Feb/2018 08:08:54
1902010,RS Umum Daerah dr. H. Marsidi Judono,144,34,43,77,0,0,67,0,15/May/2018 09:42:05
1904013,RS Umum Daerah Kab.Bangka Tengah,76,36,36,72,2,2,4,0,08/Feb/2018 09:30:26
1903013,RS Umum Daerah Sejiran Setason,96,8,18,26,28,42,70,0,14/Apr/2020 07:40:47
1905024,RS Umum Daerah Kab. Bangka Selatan,24,0,0,0,0,0,24,0,13/Feb/2018 12:54:34
1906014,RS Umum Daerah  Kab.Belitung Timur,125,12,16,28,37,45,97,0,15/Apr/2020 06:52:43
1971021,RS Umum Daerah Depati Hamzah,11,0,0,0,0,0,11,0,13/Feb/2018 01:03:26
1971043,RS Bakti Timah Pangkalpinang,137,44,43,87,20,30,50,0,18/Apr/2020 03:59:02
2002010,RS Umum Daerah Tanjung Uban,94,26,28,54,16,20,40,0,02/Aug/2018 08:14:45
2003011,RS Umum Daerah Natuna,84,12,17,29,20,35,55,0,06/Mar/2019 04:52:43
2072012,RS Umum Daerah Kota Tanjung Pinang,129,14,19,33,42,54,96,0,18/Apr/2020 04:27:23
2001045,RS Umum Bhakti Timah,85,15,38,53,0,0,32,0,01/Jan/2019 06:38:55
2003056,RSAU dr. Yuniati Wisma Karyani,28,0,0,0,15,13,28,0,17/Apr/2020 04:42:40
2001013,RS Umum Daerah Muhammad Sani Kabupaten Karimun,187,25,25,50,0,0,137,0,06/Mar/2019 20:26:51
2071034,RS Badan Pengusahaan Batam,196,0,0,0,0,0,196,0,16/Apr/2020 15:44:18
2071114,RS Umum Daerah Embung Fatimah Kota Batam,224,16,14,30,76,118,194,0,09/Jan/2019 06:29:06
2003125,RS Umum Daerah Palmatak,42,2,2,4,16,24,38,0,01/Apr/2018 04:35:06
2004136,RS Umum Daerah Encik Mariyam,27,11,7,18,5,6,9,0,08/Feb/2018 08:57:39
3171012,RSUP Fatmawati,678,83,83,166,0,0,512,0,19/Apr/2020 06:40:03
3171034,RS Umum AL Cilandak,15,0,0,0,0,0,15,0,16/Apr/2020 12:42:45
3171045,RS Umum Jakarta,4,0,0,0,2,2,4,0,17/Apr/2020 06:28:02
3171435,RS Ketergantungan Obat,150,33,2,35,6,0,115,0,01/Apr/2020 06:28:29
3171450,RS Umum Setia Mitra,61,5,12,17,19,25,44,0,24/Dec/2018 09:20:46
3171504,RS Umum Pondok Indah,88,21,18,39,0,33,49,0,17/Apr/2020 07:04:41
3171702,RS Umum Zahirah,3,1,2,3,0,0,0,0,12/Oct/2017 11:50:30
3171757,RS Ibu dan Anak Brawijaya Durentiga,29,0,5,5,0,20,24,0,24/Dec/2018 09:43:19
3172013,RSUP Persahabatan,585,18,3,21,0,0,564,0,19/Apr/2020 22:35:32
3172024,RS Umum Daerah Budhi Asih,430,110,124,234,0,30,196,0,17/Apr/2018 18:37:56
3172072,RS Umum Bhayangkara Tk. I R.Said Sukanto,76,0,0,0,0,0,76,0,13/Apr/2020 05:00:14
3172505,RS Islam Jakarta Pondok Kopi,14,0,0,0,0,0,14,0,01/Apr/2020 10:10:15
3172520,RS Umum Harum,11,0,0,0,0,0,11,0,17/Apr/2020 14:15:10
3172553,RS Umum Harapan Bunda,7,1,0,1,0,0,6,0,17/Apr/2020 10:21:48
3172713,RS Umum Mediros,11,1,0,1,6,4,10,0,09/Jan/2019 11:43:53
3172735,RS Jiwa Islam Klender,50,15,12,27,15,8,23,0,01/Mar/2019 07:43:25
3172746,RS Jiwa Duren Sawit,116,22,34,56,35,25,60,0,18/Apr/2020 06:54:35
3173014,RSUPN Dr. Cipto Mangunkusumo,1091,362,352,714,0,0,377,1901,01/Aug/2018 08:41:15
3173036,RS Umum AL Dr Mintoharjo,37,7,5,12,0,0,25,0,17/Apr/2020 04:41:00
3173040,RS Umum Husada,24,0,0,0,0,0,24,0,14/Apr/2020 14:51:10
3173051,RS Umum Sint Carolus,32,0,0,0,0,0,32,0,17/Apr/2020 08:10:31
3173062,RS PGI Cikini,314,23,27,50,0,0,264,0,17/Apr/2020 02:20:00
3173084,RS Tk II M.Ridwan Meuraksa,135,75,55,130,15,35,5,0,17/Apr/2020 14:55:21
3173105,RS Umum Budi Kemuliaan,15,0,9,9,2,2,6,0,15/Apr/2020 11:08:33
3173120,RS Khusus Ibu Anak Bunda Jakarta,81,6,42,48,2,31,33,0,26/Dec/2018 08:39:39
3173441,RS Umum Evasari,1,0,0,0,0,0,1,0,16/Apr/2020 11:15:16
3173474,RS Umum Pertamina Jaya,170,14,9,23,0,0,147,0,18/Apr/2020 09:02:02
3173521,RS Umum Daerah Tarakan,696,227,208,435,285,285,261,0,10/Nov/2017 03:00:25
3173580,RS Umum Kramat 128,8,0,0,0,0,0,8,0,16/Apr/2020 10:05:13
3173612,RS Khusus THT Prof Nizar,0,0,0,0,0,0,0,0,18/Apr/2020 08:15:50
3173645,RS Umum Menteng Mitra Afia,2,0,0,0,0,0,2,0,17/Apr/2020 13:41:50
3174041,RS Jiwa Dr. Soeharto Heerjan,367,132,73,205,0,0,162,0,15/Apr/2020 06:39:49
